model,layer,group,energy_j_mean
gpt-oss-120b,l1,astropy__astropy-12907,8554.59
gpt-oss-120b,l1,astropy__astropy-13033,3235.58
gpt-oss-120b,l1,astropy__astropy-13236,2596.74
gpt-oss-120b,l1,astropy__astropy-13398,9362.69
gpt-oss-120b,l1,django__django-10554,5673.67
gpt-oss-120b,l1,django__django-10880,16029.73
gpt-oss-120b,l1,django__django-10914,654.84
gpt-oss-120b,l1,matplotlib__matplotlib-13989,2246.33
gpt-oss-120b,l1,matplotlib__matplotlib-14623,4313.51
gpt-oss-120b,l1,mwaskom__seaborn-3069,6881.99
gpt-oss-120b,l1,mwaskom__seaborn-3187,2882.93
gpt-oss-120b,l1,pallets__flask-5014,1188.99
gpt-oss-120b,l1,psf__requests-1142,2292.05
gpt-oss-120b,l1,psf__requests-1724,4516.87
gpt-oss-120b,l1,psf__requests-1766,1013.2
gpt-oss-120b,l1,psf__requests-1921,3594.57
gpt-oss-120b,l1,pylint-dev__pylint-4551,4737.81
gpt-oss-120b,l1,pylint-dev__pylint-4661,2757.71
gpt-oss-120b,l1,pylint-dev__pylint-4970,6401.04
gpt-oss-120b,l1,pytest-dev__pytest-10051,624.92
gpt-oss-120b,l1,pytest-dev__pytest-10081,652.25
gpt-oss-120b,l1,pytest-dev__pytest-10356,4008.46
gpt-oss-120b,l1,pytest-dev__pytest-5262,1005.0
gpt-oss-120b,l1,sphinx-doc__sphinx-10449,10166.63
gpt-oss-120b,l1,sphinx-doc__sphinx-10466,4777.63
gpt-oss-120b,l1,sympy__sympy-11618,1698.88
gpt-oss-120b,l1,sympy__sympy-12096,2344.74
gpt-oss-120b,l1,sympy__sympy-12419,4877.48
gpt-oss-120b,l1,sympy__sympy-12481,21383.83
gpt-oss-120b,l2,node,17668.28
gpt-oss-120b,l2,python,24391.12
nemotron-super,l1,astropy__astropy-12907,1946.05
nemotron-super,l1,astropy__astropy-13033,8369.83
nemotron-super,l1,astropy__astropy-13236,24861.31
nemotron-super,l1,astropy__astropy-13398,6475.28
nemotron-super,l1,django__django-10554,7480.3
nemotron-super,l1,django__django-10880,8210.51
nemotron-super,l1,django__django-10914,4704.77
nemotron-super,l1,matplotlib__matplotlib-13989,9651.29
nemotron-super,l1,matplotlib__matplotlib-14623,4881.08
nemotron-super,l1,mwaskom__seaborn-3069,22269.74
nemotron-super,l1,mwaskom__seaborn-3187,11296.69
nemotron-super,l1,pallets__flask-5014,7706.32
nemotron-super,l1,psf__requests-1142,16504.61
nemotron-super,l1,psf__requests-1724,9626.96
nemotron-super,l1,psf__requests-1766,8396.87
nemotron-super,l1,psf__requests-1921,19031.62
nemotron-super,l1,pylint-dev__pylint-4551,885.41
nemotron-super,l1,pylint-dev__pylint-4661,11324.43
nemotron-super,l1,pylint-dev__pylint-4970,12284.8
nemotron-super,l1,pytest-dev__pytest-10051,6947.66
nemotron-super,l1,pytest-dev__pytest-10081,655306.15
nemotron-super,l2,node,57228.22
nemotron-super,l2,python,29619.22
nemotron-super,l3,lcb-pre2024m06,1478689.83
qwen3-coder-30b,l1,astropy__astropy-12907,1396.92
qwen3-coder-30b,l1,astropy__astropy-13033,3739.83
qwen3-coder-30b,l1,astropy__astropy-13236,1756.47
qwen3-coder-30b,l1,astropy__astropy-13398,5373.11
qwen3-coder-30b,l1,django__django-10554,12706.59
qwen3-coder-30b,l1,django__django-10880,1089.86
qwen3-coder-30b,l1,django__django-10914,1638.96
qwen3-coder-30b,l1,matplotlib__matplotlib-13989,2417.53
qwen3-coder-30b,l1,matplotlib__matplotlib-14623,2665.35
qwen3-coder-30b,l1,mwaskom__seaborn-3069,7274.08
qwen3-coder-30b,l1,mwaskom__seaborn-3187,7452.07
qwen3-coder-30b,l1,pallets__flask-5014,1110.55
qwen3-coder-30b,l1,psf__requests-1142,2261.46
qwen3-coder-30b,l1,psf__requests-1724,2675.59
qwen3-coder-30b,l1,psf__requests-1766,1292.36
qwen3-coder-30b,l1,psf__requests-1921,2563.28
qwen3-coder-30b,l1,pylint-dev__pylint-4551,12136.58
qwen3-coder-30b,l1,pylint-dev__pylint-4661,3878.68
qwen3-coder-30b,l1,pylint-dev__pylint-4970,3313.18
qwen3-coder-30b,l1,pytest-dev__pytest-10051,1825.22
qwen3-coder-30b,l1,pytest-dev__pytest-10081,6274.96
qwen3-coder-30b,l1,pytest-dev__pytest-10356,4432.5
qwen3-coder-30b,l1,pytest-dev__pytest-5262,2277.79
qwen3-coder-30b,l1,sphinx-doc__sphinx-10449,5970.84
qwen3-coder-30b,l1,sphinx-doc__sphinx-10466,971.62
qwen3-coder-30b,l1,sympy__sympy-11618,4693.63
qwen3-coder-30b,l1,sympy__sympy-12096,1299.75
qwen3-coder-30b,l1,sympy__sympy-12419,1727.83
qwen3-coder-30b,l1,sympy__sympy-12481,1856.57
qwen3-coder-30b,l2,node,23295.53
qwen3-coder-30b,l2,python,21026.21
qwen3-coder-30b,l3,lcb-pre2024m06,1007353.24
