model,layer,group,peak_mib
gpt-oss-120b,l1,astropy__astropy-12907,110498.4
gpt-oss-120b,l1,astropy__astropy-13033,110450.1
gpt-oss-120b,l1,astropy__astropy-13236,110339.1
gpt-oss-120b,l1,astropy__astropy-13398,110362.2
gpt-oss-120b,l1,django__django-10554,110937.8
gpt-oss-120b,l1,django__django-10880,112153.5
gpt-oss-120b,l1,django__django-10914,111445.4
gpt-oss-120b,l1,matplotlib__matplotlib-13989,111516.8
gpt-oss-120b,l1,matplotlib__matplotlib-14623,112542.5
gpt-oss-120b,l1,mwaskom__seaborn-3069,112557.6
gpt-oss-120b,l1,mwaskom__seaborn-3187,112127.5
gpt-oss-120b,l1,pallets__flask-5014,112224.2
gpt-oss-120b,l1,psf__requests-1142,112197.4
gpt-oss-120b,l1,psf__requests-1724,112139.9
gpt-oss-120b,l1,psf__requests-1766,112122.0
gpt-oss-120b,l1,psf__requests-1921,112243.2
gpt-oss-120b,l1,pylint-dev__pylint-4551,112166.4
gpt-oss-120b,l1,pylint-dev__pylint-4661,112188.4
gpt-oss-120b,l1,pylint-dev__pylint-4970,112241.8
gpt-oss-120b,l1,pytest-dev__pytest-10051,112213.8
gpt-oss-120b,l1,pytest-dev__pytest-10081,112303.6
gpt-oss-120b,l1,pytest-dev__pytest-10356,112218.0
gpt-oss-120b,l1,pytest-dev__pytest-5262,112211.1
gpt-oss-120b,l1,sphinx-doc__sphinx-10449,112298.5
gpt-oss-120b,l1,sphinx-doc__sphinx-10466,112242.5
gpt-oss-120b,l1,sympy__sympy-11618,112245.2
gpt-oss-120b,l1,sympy__sympy-12096,112984.8
gpt-oss-120b,l1,sympy__sympy-12419,113059.1
gpt-oss-120b,l1,sympy__sympy-12481,113049.9
gpt-oss-120b,l2,node,109953.8
gpt-oss-120b,l2,python,110404.8
nemotron-super,l1,astropy__astropy-12907,107200.7
nemotron-super,l1,astropy__astropy-13033,107217.9
nemotron-super,l1,astropy__astropy-13236,107234.6
nemotron-super,l1,astropy__astropy-13398,107227.3
nemotron-super,l1,django__django-10554,107272.7
nemotron-super,l1,django__django-10880,107218.3
nemotron-super,l1,django__django-10914,107277.4
nemotron-super,l1,matplotlib__matplotlib-13989,107794.9
nemotron-super,l1,matplotlib__matplotlib-14623,107757.0
nemotron-super,l1,mwaskom__seaborn-3069,107800.6
nemotron-super,l1,mwaskom__seaborn-3187,107852.7
nemotron-super,l1,pallets__flask-5014,107817.0
nemotron-super,l1,psf__requests-1142,107836.0
nemotron-super,l1,psf__requests-1724,107784.8
nemotron-super,l1,psf__requests-1766,107914.0
nemotron-super,l1,psf__requests-1921,107799.0
nemotron-super,l1,pylint-dev__pylint-4551,107834.2
nemotron-super,l1,pylint-dev__pylint-4661,107899.9
nemotron-super,l1,pylint-dev__pylint-4970,107852.1
nemotron-super,l1,pytest-dev__pytest-10051,107848.5
nemotron-super,l1,pytest-dev__pytest-10081,108517.3
nemotron-super,l2,node,107504.2
nemotron-super,l2,python,107239.4
nemotron-super,l3,lcb-pre2024m06,117476.5
qwen3-coder-30b,l1,astropy__astropy-12907,109428.9
qwen3-coder-30b,l1,astropy__astropy-13033,109016.5
qwen3-coder-30b,l1,astropy__astropy-13236,108673.9
qwen3-coder-30b,l1,astropy__astropy-13398,109304.6
qwen3-coder-30b,l1,django__django-10554,109949.3
qwen3-coder-30b,l1,django__django-10880,109431.3
qwen3-coder-30b,l1,django__django-10914,109433.2
qwen3-coder-30b,l1,matplotlib__matplotlib-13989,110424.1
qwen3-coder-30b,l1,matplotlib__matplotlib-14623,109746.9
qwen3-coder-30b,l1,mwaskom__seaborn-3069,109841.9
qwen3-coder-30b,l1,mwaskom__seaborn-3187,109893.3
qwen3-coder-30b,l1,pallets__flask-5014,109832.6
qwen3-coder-30b,l1,psf__requests-1142,109840.6
qwen3-coder-30b,l1,psf__requests-1724,109798.0
qwen3-coder-30b,l1,psf__requests-1766,109773.9
qwen3-coder-30b,l1,psf__requests-1921,109703.7
qwen3-coder-30b,l1,pylint-dev__pylint-4551,110332.1
qwen3-coder-30b,l1,pylint-dev__pylint-4661,109720.0
qwen3-coder-30b,l1,pylint-dev__pylint-4970,109709.7
qwen3-coder-30b,l1,pytest-dev__pytest-10051,109704.9
qwen3-coder-30b,l1,pytest-dev__pytest-10081,109829.8
qwen3-coder-30b,l1,pytest-dev__pytest-10356,109784.6
qwen3-coder-30b,l1,pytest-dev__pytest-5262,110410.4
qwen3-coder-30b,l1,sphinx-doc__sphinx-10449,110453.8
qwen3-coder-30b,l1,sphinx-doc__sphinx-10466,110455.1
qwen3-coder-30b,l1,sympy__sympy-11618,110403.9
qwen3-coder-30b,l1,sympy__sympy-12096,110401.3
qwen3-coder-30b,l1,sympy__sympy-12419,110369.5
qwen3-coder-30b,l1,sympy__sympy-12481,110415.9
qwen3-coder-30b,l2,node,109648.6
qwen3-coder-30b,l2,python,109562.5
qwen3-coder-30b,l3,lcb-pre2024m06,117761.7
