model,task,repeat,outcome,is_model_valid,exit_code,duration_s,energy_j
gpt-oss-120b,astropy__astropy-12907,1,unresolved_valid,1,0,271.325,8554.59
gpt-oss-120b,astropy__astropy-13033,1,unresolved_valid,1,0,113.09,3235.58
gpt-oss-120b,astropy__astropy-13236,1,unresolved_valid,1,0,90.086,2596.74
gpt-oss-120b,astropy__astropy-13398,1,unresolved_valid,1,0,287.709,9362.69
gpt-oss-120b,django__django-10554,1,unresolved_valid,1,0,178.026,5673.67
gpt-oss-120b,django__django-10880,1,resolved,1,0,760.204,16029.73
gpt-oss-120b,django__django-10914,1,resolved,1,0,24.199,654.84
gpt-oss-120b,matplotlib__matplotlib-13989,1,unresolved_valid,1,0,75.998,2246.33
gpt-oss-120b,matplotlib__matplotlib-14623,1,unresolved_valid,1,1,81.238,4313.51
gpt-oss-120b,mwaskom__seaborn-3069,1,unresolved_valid,1,0,217.047,6881.99
gpt-oss-120b,mwaskom__seaborn-3187,1,unresolved_valid,1,0,96.468,2882.93
gpt-oss-120b,pallets__flask-5014,1,resolved,1,0,39.95,1188.99
gpt-oss-120b,psf__requests-1142,1,resolved,1,0,74.26,2292.05
gpt-oss-120b,psf__requests-1724,1,unresolved_valid,1,0,149.949,4516.87
gpt-oss-120b,psf__requests-1766,1,resolved,1,0,36.142,1013.2
gpt-oss-120b,psf__requests-1921,1,resolved,1,0,120.939,3594.57
gpt-oss-120b,pylint-dev__pylint-4551,1,unresolved_valid,1,0,153.414,4737.81
gpt-oss-120b,pylint-dev__pylint-4661,1,unresolved_valid,1,0,93.382,2757.71
gpt-oss-120b,pylint-dev__pylint-4970,1,unresolved_valid,1,0,175.326,6401.04
gpt-oss-120b,pytest-dev__pytest-10051,1,unresolved_valid,1,0,21.482,624.92
gpt-oss-120b,pytest-dev__pytest-10081,1,unresolved_valid,1,0,21.481,652.25
gpt-oss-120b,pytest-dev__pytest-10356,1,unresolved_valid,1,0,133.621,4008.46
gpt-oss-120b,pytest-dev__pytest-5262,1,unresolved_valid,1,1,30.611,1005.0
gpt-oss-120b,sphinx-doc__sphinx-10449,1,unresolved_valid,1,1,331.458,10166.63
gpt-oss-120b,sphinx-doc__sphinx-10466,1,resolved,1,1,117.518,4777.63
gpt-oss-120b,sympy__sympy-11618,1,resolved,1,0,60.105,1698.88
gpt-oss-120b,sympy__sympy-12096,1,resolved,1,0,71.702,2344.74
gpt-oss-120b,sympy__sympy-12419,1,resolved,1,0,160.6,4877.48
gpt-oss-120b,sympy__sympy-12481,1,resolved,1,0,711.448,21383.83
nemotron-super,astropy__astropy-12907,1,unresolved_valid,1,0,50.264,1946.05
nemotron-super,astropy__astropy-13033,1,unresolved_valid,1,0,212.034,8369.83
nemotron-super,astropy__astropy-13236,1,unresolved_valid,1,0,665.051,24861.31
nemotron-super,astropy__astropy-13398,1,unresolved_valid,1,0,168.821,6475.28
nemotron-super,django__django-10554,1,unresolved_valid,1,0,197.183,7480.3
nemotron-super,django__django-10880,1,resolved,1,0,199.984,8210.51
nemotron-super,django__django-10914,1,resolved,1,0,115.315,4704.77
nemotron-super,matplotlib__matplotlib-13989,1,resolved,1,0,241.345,9651.29
nemotron-super,matplotlib__matplotlib-14623,1,unresolved_valid,1,0,110.915,4881.08
nemotron-super,mwaskom__seaborn-3069,1,unresolved_valid,1,0,559.834,22269.74
nemotron-super,mwaskom__seaborn-3187,1,unresolved_valid,1,0,325.98,11296.69
nemotron-super,pallets__flask-5014,1,resolved,1,0,197.657,7706.32
nemotron-super,psf__requests-1142,1,resolved,1,0,450.804,16504.61
nemotron-super,psf__requests-1724,1,unresolved_valid,1,0,236.372,9626.96
nemotron-super,psf__requests-1766,1,resolved,1,0,232.151,8396.87
nemotron-super,psf__requests-1921,1,unresolved_valid,1,0,508.328,19031.62
nemotron-super,pylint-dev__pylint-4551,1,unresolved_valid,1,0,23.81,885.41
nemotron-super,pylint-dev__pylint-4661,1,unresolved_valid,1,0,309.181,11324.43
nemotron-super,pylint-dev__pylint-4970,1,unresolved_valid,1,0,349.351,12284.8
nemotron-super,pytest-dev__pytest-10051,1,unresolved_valid,1,0,184.064,6947.66
nemotron-super,pytest-dev__pytest-10081,1,watchdog_kill,0,143,46732.613,655306.15
nemotron-super,pytest-dev__pytest-10356,1,infra_missing,0,,,
nemotron-super,pytest-dev__pytest-5262,1,infra_missing,0,,,
nemotron-super,sphinx-doc__sphinx-10449,1,infra_missing,0,,,
nemotron-super,sphinx-doc__sphinx-10466,1,infra_missing,0,,,
nemotron-super,sympy__sympy-11618,1,infra_missing,0,,,
nemotron-super,sympy__sympy-12096,1,infra_missing,0,,,
nemotron-super,sympy__sympy-12419,1,infra_missing,0,,,
nemotron-super,sympy__sympy-12481,1,infra_missing,0,,,
qwen3-coder-30b,astropy__astropy-12907,1,unresolved_valid,1,0,48.904,1396.92
qwen3-coder-30b,astropy__astropy-13033,1,unresolved_valid,1,0,144.844,3739.83
qwen3-coder-30b,astropy__astropy-13236,1,unresolved_valid,1,0,67.9,1756.47
qwen3-coder-30b,astropy__astropy-13398,1,unresolved_valid,1,0,189.847,5373.11
qwen3-coder-30b,django__django-10554,1,unresolved_valid,1,0,437.611,12706.59
qwen3-coder-30b,django__django-10880,1,unresolved_valid,1,0,39.107,1089.86
qwen3-coder-30b,django__django-10914,1,resolved,1,0,56.327,1638.96
qwen3-coder-30b,matplotlib__matplotlib-13989,1,unresolved_valid,1,0,68.503,2417.53
qwen3-coder-30b,matplotlib__matplotlib-14623,1,unresolved_valid,1,0,53.983,2665.35
qwen3-coder-30b,mwaskom__seaborn-3069,1,unresolved_valid,1,0,234.046,7274.08
qwen3-coder-30b,mwaskom__seaborn-3187,1,unresolved_valid,1,0,251.167,7452.07
qwen3-coder-30b,pallets__flask-5014,1,resolved,1,0,36.804,1110.55
qwen3-coder-30b,psf__requests-1142,1,resolved,1,0,76.067,2261.46
qwen3-coder-30b,psf__requests-1724,1,unresolved_valid,1,0,82.133,2675.59
qwen3-coder-30b,psf__requests-1766,1,unresolved_valid,1,0,43.915,1292.36
qwen3-coder-30b,psf__requests-1921,1,unresolved_valid,1,0,89.23,2563.28
qwen3-coder-30b,pylint-dev__pylint-4551,1,unresolved_valid,1,0,450.41,12136.58
qwen3-coder-30b,pylint-dev__pylint-4661,1,unresolved_valid,1,0,154.531,3878.68
qwen3-coder-30b,pylint-dev__pylint-4970,1,unresolved_valid,1,0,107.535,3313.18
qwen3-coder-30b,pytest-dev__pytest-10051,1,unresolved_valid,1,0,62.003,1825.22
qwen3-coder-30b,pytest-dev__pytest-10081,1,resolved,1,0,235.443,6274.96
qwen3-coder-30b,pytest-dev__pytest-10356,1,unresolved_valid,1,0,167.485,4432.5
qwen3-coder-30b,pytest-dev__pytest-5262,1,resolved,1,0,82.007,2277.79
qwen3-coder-30b,sphinx-doc__sphinx-10449,1,unresolved_valid,1,0,189.003,5970.84
qwen3-coder-30b,sphinx-doc__sphinx-10466,1,resolved,1,0,35.631,971.62
qwen3-coder-30b,sympy__sympy-11618,1,resolved,1,0,175.746,4693.63
qwen3-coder-30b,sympy__sympy-12096,1,unresolved_valid,1,0,47.845,1299.75
qwen3-coder-30b,sympy__sympy-12419,1,unresolved_valid,1,0,57.985,1727.83
qwen3-coder-30b,sympy__sympy-12481,1,unresolved_valid,1,0,51.108,1856.57
