run_id,model,layer,ttft_p50,ttft_p90,ttft_p95,ttft_p99,e2e_p50,e2e_p90,e2e_p95,e2e_p99,n_requests
gpt-oss-120b-l1-astropy__astropy-12907-1,gpt-oss-120b,L1,0.5556,1.75,2.3125,34.0,5.5556,20.0,35.0,57.0,30
gpt-oss-120b-l1-astropy__astropy-13033-1,gpt-oss-120b,L1,0.4464,2.05,8.375,9.675,6.25,13.5,53.5,58.7,13
gpt-oss-120b-l1-astropy__astropy-13236-1,gpt-oss-120b,L1,0.4286,2.2,28.0,37.6,4.2857,38.0,44.0,48.8,12
gpt-oss-120b-l1-astropy__astropy-13398-1,gpt-oss-120b,L1,0.8125,3.0,4.625,6.85,7.1429,24.0,47.0,57.4,26
gpt-oss-120b-l1-django__django-10554-1,gpt-oss-120b,L1,0.4659,2.1063,2.3969,16.9,4.1964,14.5,18.625,36.9,31
gpt-oss-120b-l1-django__django-10880-1,gpt-oss-120b,L1,0.4653,2.225,4.875,15.9,5.75,16.9,18.95,45.9,41
gpt-oss-120b-l1-django__django-10914-1,gpt-oss-120b,L1,0.4375,3.5,4.25,4.85,4.1667,8.5,9.25,9.85,6
gpt-oss-120b-l1-matplotlib__matplotlib-13989-1,gpt-oss-120b,L1,0.4205,1.45,5.375,7.075,3.9062,9.125,10.75,14.15,17
gpt-oss-120b-l1-matplotlib__matplotlib-14623-1,gpt-oss-120b,L1,0.375,11.5,15.75,19.15,3.3929,11.5,15.75,19.15,17
gpt-oss-120b-l1-mwaskom__seaborn-3069-1,gpt-oss-120b,L1,0.625,2.025,2.3875,4.275,4.4531,9.5,17.75,102.6,29
gpt-oss-120b-l1-mwaskom__seaborn-3187-1,gpt-oss-120b,L1,0.4375,2.2,3.25,4.65,4.4444,18.0,23.0,28.6,14
gpt-oss-120b-l1-pallets__flask-5014-1,gpt-oss-120b,L1,0.375,3.5,4.25,4.85,5.0,13.5,14.25,14.85,6
gpt-oss-120b-l1-psf__requests-1142-1,gpt-oss-120b,L1,0.625,0.975,3.125,4.625,4.3056,9.375,11.25,14.25,15
gpt-oss-120b-l1-psf__requests-1724-1,gpt-oss-120b,L1,0.5781,1.825,10.5,18.1,8.5,14.3571,15.25,19.05,19
gpt-oss-120b-l1-psf__requests-1766-1,gpt-oss-120b,L1,0.4167,5.5,6.5,7.3,5.0,11.0,13.0,14.6,8
gpt-oss-120b-l1-psf__requests-1921-1,gpt-oss-120b,L1,0.5417,2.125,12.5,18.5,4.375,27.5,32.5,38.5,15
gpt-oss-120b-l1-pylint-dev__pylint-4551-1,gpt-oss-120b,L1,0.525,1.95,2.475,9.475,4.2045,13.1667,14.9167,57.9,21
gpt-oss-120b-l1-pylint-dev__pylint-4661-1,gpt-oss-120b,L1,0.4028,0.925,3.375,4.675,4.7917,18.5,23.5,28.7,13
gpt-oss-120b-l1-pylint-dev__pylint-4970-1,gpt-oss-120b,L1,0.4844,6.9167,23.0,36.6,5.625,36.5,51.5,58.3,17
gpt-oss-120b-l1-pytest-dev__pytest-10051-1,gpt-oss-120b,L1,0.4375,8.75,9.375,9.875,4.5833,12.5,13.75,14.75,5
gpt-oss-120b-l1-pytest-dev__pytest-10081-1,gpt-oss-120b,L1,0.5,16.0,18.0,19.6,5.0,13.0,14.0,14.8,4
gpt-oss-120b-l1-pytest-dev__pytest-10356-1,gpt-oss-120b,L1,0.5,2.05,3.0,4.6,5.0,24.6667,27.3333,29.4667,16
gpt-oss-120b-l1-pytest-dev__pytest-5262-1,gpt-oss-120b,L1,0.5,9.0,9.5,9.9,7.5,13.5,14.25,14.85,3
gpt-oss-120b-l1-sphinx-doc__sphinx-10449-1,gpt-oss-120b,L1,0.5,2.325,4.5,15.6,4.6875,12.6,14.8,18.9,44
gpt-oss-120b-l1-sphinx-doc__sphinx-10466-1,gpt-oss-120b,L1,1.375,3.625,4.9375,17.9,4.3269,12.25,14.875,18.95,21
gpt-oss-120b-l1-sympy__sympy-11618-1,gpt-oss-120b,L1,0.4167,1.0,8.75,9.75,4.375,15.0,25.0,29.0,10
gpt-oss-120b-l1-sympy__sympy-12096-1,gpt-oss-120b,L1,0.425,5.25,6.375,7.275,5.625,31.0,35.5,39.1,9
