model,instance,applied,resolved,pass_to_pass_total,pass_to_pass_failed,regressed
gpt-oss-120b,astropy__astropy-12907,1,0,13,0,0
gpt-oss-120b,astropy__astropy-13033,1,0,20,1,1
gpt-oss-120b,astropy__astropy-13236,1,0,644,644,1
gpt-oss-120b,astropy__astropy-13398,1,0,68,68,1
gpt-oss-120b,django__django-10554,1,0,23,1,1
gpt-oss-120b,django__django-10880,1,1,55,0,0
gpt-oss-120b,django__django-10914,1,1,98,0,0
gpt-oss-120b,mwaskom__seaborn-3069,1,0,94,94,1
gpt-oss-120b,mwaskom__seaborn-3187,1,0,248,248,1
gpt-oss-120b,pallets__flask-5014,1,1,59,0,0
gpt-oss-120b,psf__requests-1142,1,1,5,0,0
gpt-oss-120b,psf__requests-1724,1,0,79,1,1
gpt-oss-120b,psf__requests-1766,1,1,79,0,0
gpt-oss-120b,psf__requests-1921,1,1,107,0,0
gpt-oss-120b,pylint-dev__pylint-4551,1,0,0,0,0
gpt-oss-120b,pylint-dev__pylint-4661,1,0,0,0,0
gpt-oss-120b,pylint-dev__pylint-4970,1,0,17,0,0
gpt-oss-120b,pytest-dev__pytest-10356,1,0,79,0,0
gpt-oss-120b,sphinx-doc__sphinx-10449,1,0,30,21,1
gpt-oss-120b,sphinx-doc__sphinx-10466,1,1,6,0,0
gpt-oss-120b,sympy__sympy-11618,1,1,4,0,0
gpt-oss-120b,sympy__sympy-12096,1,1,43,0,0
gpt-oss-120b,sympy__sympy-12419,1,1,25,0,0
gpt-oss-120b,sympy__sympy-12481,1,1,7,0,0
nemotron-super,astropy__astropy-13033,1,0,20,1,1
nemotron-super,astropy__astropy-13236,1,0,644,0,0
nemotron-super,django__django-10880,1,1,55,0,0
nemotron-super,django__django-10914,1,1,98,0,0
nemotron-super,matplotlib__matplotlib-13989,1,1,411,0,0
nemotron-super,mwaskom__seaborn-3187,1,0,248,0,0
nemotron-super,pallets__flask-5014,1,1,59,0,0
nemotron-super,psf__requests-1142,1,1,5,0,0
nemotron-super,psf__requests-1766,1,1,79,0,0
nemotron-super,psf__requests-1921,1,0,107,1,1
nemotron-super,pylint-dev__pylint-4661,1,0,0,0,0
nemotron-super,pylint-dev__pylint-4970,1,0,17,0,0
nemotron-super,pytest-dev__pytest-10051,1,0,15,1,1
nemotron-super,pytest-dev__pytest-10081,1,0,63,0,0
qwen3-coder-30b,astropy__astropy-13033,1,0,20,0,0
qwen3-coder-30b,astropy__astropy-13236,1,0,644,0,0
qwen3-coder-30b,astropy__astropy-13398,1,0,68,5,1
qwen3-coder-30b,django__django-10554,1,0,23,1,1
qwen3-coder-30b,django__django-10914,1,1,98,0,0
qwen3-coder-30b,mwaskom__seaborn-3069,1,0,94,8,1
qwen3-coder-30b,mwaskom__seaborn-3187,1,0,248,0,0
qwen3-coder-30b,pallets__flask-5014,1,1,59,0,0
qwen3-coder-30b,psf__requests-1142,1,1,5,0,0
qwen3-coder-30b,psf__requests-1724,1,0,79,36,1
qwen3-coder-30b,psf__requests-1766,1,0,79,20,1
qwen3-coder-30b,psf__requests-1921,1,0,107,24,1
qwen3-coder-30b,pylint-dev__pylint-4551,1,0,0,0,0
qwen3-coder-30b,pylint-dev__pylint-4661,1,0,0,0,0
qwen3-coder-30b,pylint-dev__pylint-4970,1,0,17,0,0
qwen3-coder-30b,pytest-dev__pytest-10051,1,0,15,1,1
qwen3-coder-30b,pytest-dev__pytest-10081,1,1,63,0,0
qwen3-coder-30b,pytest-dev__pytest-10356,1,0,79,0,0
qwen3-coder-30b,pytest-dev__pytest-5262,1,1,108,0,0
qwen3-coder-30b,sphinx-doc__sphinx-10449,1,0,30,0,0
qwen3-coder-30b,sphinx-doc__sphinx-10466,1,1,6,0,0
qwen3-coder-30b,sympy__sympy-11618,1,1,4,0,0
